bwv,c,p,t,d
846,2,60,192,192
846,2,62,384,192
846,2,64,576,192
846,2,65,768,288
846,2,67,1056,48
846,2,65,1104,48
846,2,64,1152,192
846,2,69,1344,192
846,2,62,1536,192
846,2,67,1728,288
846,2,69,2016,96
846,2,67,2112,96
846,2,65,2208,96
846,2,64,2304,96
846,2,65,2400,96
846,1,67,2496,192
846,2,64,2496,96
846,2,62,2592,96
846,1,69,2688,192
846,2,60,2688,96
846,2,62,2784,96
846,1,71,2880,192
846,2,60,2880,96
846,2,59,2976,96
846,1,72,3072,288
846,2,57,3072,192
846,2,66,3264,192
846,1,74,3360,48
846,1,72,3408,48
846,1,71,3456,192
846,2,67,3456,576
846,1,76,3648,192
846,1,69,3840,192
846,1,74,4032,288
846,2,66,4032,96
846,2,64,4128,96
846,2,66,4224,192
846,1,76,4320,96
846,1,74,4416,96
846,2,62,4416,192
846,1,72,4512,96
846,1,71,4608,96
846,2,67,4608,192
846,1,67,4704,96
846,1,69,4800,96
846,2,65,4800,192
846,3,55,4800,192
846,1,71,4896,96
846,1,72,4992,96
846,2,64,4992,192
846,3,57,4992,192
846,1,71,5088,96
846,1,72,5184,96
846,2,62,5184,192
846,3,59,5184,192
846,1,74,5280,96
846,1,76,5376,96
846,2,60,5376,192
846,3,60,5376,288
846,1,74,5472,96
846,1,76,5568,96
846,1,78,5664,96
846,3,62,5664,48
846,3,60,5712,48
846,1,79,5760,192
846,3,59,5760,192
846,1,71,5952,192
846,2,67,5952,384
846,3,64,5952,192
846,1,72,6144,192
846,3,57,6144,192
846,1,69,6336,192
846,2,65,6336,96
846,3,62,6336,288
846,2,64,6432,96
846,1,74,6528,96
846,2,65,6528,480
846,1,72,6624,96
846,3,64,6624,96
846,1,71,6720,96
846,3,62,6720,96
846,1,69,6816,96
846,3,60,6816,96
846,1,67,6912,288
846,3,59,6912,192
846,2,65,7008,96
846,2,64,7104,192
846,3,60,7104,384
846,4,48,7104,192
846,1,67,7200,96
846,1,65,7296,96
846,2,62,7296,384
846,4,50,7296,192
846,1,64,7392,96
846,1,65,7488,96
846,3,58,7488,192
846,4,52,7488,192
846,1,67,7584,96
846,1,69,7680,96
846,2,60,7680,192
846,3,57,7680,192
846,4,53,7680,288
846,1,67,7776,96
846,1,69,7872,96
846,2,65,7872,192
846,3,62,7872,192
846,1,71,7968,96
846,4,55,7968,48
846,4,53,8016,48
846,1,72,8064,768
846,3,55,8064,192
846,4,52,8064,192
846,2,67,8160,96
846,2,65,8256,96
846,3,60,8256,192
846,4,57,8256,192
846,2,64,8352,96
846,2,65,8448,192
846,4,50,8448,192
846,3,57,8544,96
846,2,62,8640,192
846,3,59,8640,96
846,4,55,8640,288
846,3,60,8736,96
846,1,71,8832,384
846,2,67,8832,768
846,3,62,8832,384
846,4,57,8928,96
846,4,55,9024,96
846,4,53,9120,96
846,3,55,9216,384
846,4,52,9216,96
846,4,53,9312,96
846,1,72,9408,192
846,4,52,9408,96
846,4,50,9504,96
846,1,74,9600,192
846,4,48,9600,96
846,4,50,9696,96
846,1,76,9792,192
846,3,55,9792,192
846,4,48,9792,96
846,4,47,9888,96
846,1,77,9984,288
846,3,57,9984,192
846,4,45,9984,192
846,3,59,10176,192
846,4,50,10176,192
846,1,79,10272,48
846,1,77,10320,48
846,1,76,10368,192
846,3,60,10368,288
846,4,57,10368,192
846,1,81,10560,192
846,4,54,10560,192
846,3,62,10656,48
846,3,60,10704,48
846,1,74,10752,192
846,3,59,10752,192
846,4,55,10752,96
846,4,57,10848,96
846,1,79,10944,288
846,3,64,10944,192
846,4,58,10944,96
846,4,55,11040,96
846,3,57,11136,192
846,4,49,11136,192
846,1,81,11232,96
846,1,79,11328,96
846,3,62,11328,288
846,4,50,11328,192
846,1,77,11424,96
846,1,76,11520,192
846,4,57,11520,384
846,3,64,11616,96
846,1,81,11712,288
846,3,62,11712,96
846,3,60,11808,96
846,3,59,11904,192
846,4,52,11904,384
846,1,83,12000,96
846,1,81,12096,96
846,3,64,12096,576
846,1,79,12192,96
846,1,77,12288,768
846,4,57,12288,96
846,4,59,12384,96
846,2,67,12480,192
846,4,60,12480,96
846,4,62,12576,96
846,2,69,12672,192
846,3,62,12672,384
846,4,60,12672,96
846,4,59,12768,96
846,2,71,12864,192
846,4,57,12864,96
846,4,55,12960,96
846,1,76,13056,288
846,2,72,13056,288
846,3,60,13056,96
846,4,60,13056,192
846,3,59,13152,96
846,3,60,13248,96
846,1,78,13344,96
846,2,74,13344,48
846,3,57,13344,96
846,2,72,13392,48
846,1,79,13440,768
846,2,71,13440,192
846,3,64,13440,96
846,3,62,13536,96
846,2,76,13632,192
846,3,60,13632,96
846,3,59,13728,96
846,2,69,13824,192
846,3,60,13824,96
846,3,57,13920,96
846,2,74,14016,288
846,3,59,14016,96
846,3,60,14112,96
846,1,78,14208,384
846,3,62,14208,96
846,2,76,14304,96
846,3,60,14304,96
846,2,74,14400,96
846,3,59,14400,96
846,2,72,14496,96
846,3,57,14496,96
846,1,79,14592,96
846,2,71,14592,192
846,3,55,14592,384
846,1,77,14688,96
846,1,76,14784,96
846,4,43,14784,192
846,1,74,14880,96
846,1,72,14976,96
846,4,45,14976,192
846,1,74,15072,96
846,1,72,15168,96
846,2,62,15168,192
846,4,47,15168,192
846,1,71,15264,96
846,1,69,15360,96
846,2,64,15360,192
846,4,48,15360,288
846,1,72,15456,96
846,1,71,15552,96
846,2,66,15552,192
846,1,69,15648,96
846,4,50,15648,48
846,4,48,15696,48
846,1,67,15744,192
846,2,67,15744,288
846,4,47,15744,192
846,4,52,15936,192
846,2,69,16032,48
846,2,67,16080,48
846,2,66,16128,192
846,4,45,16128,192
846,1,72,16224,96
846,1,71,16320,96
846,2,71,16320,192
846,4,50,16320,288
846,1,69,16416,96
846,1,68,16512,192
846,2,64,16512,192
846,4,52,16608,96
846,1,76,16704,192
846,2,69,16704,288
846,4,50,16704,96
846,4,48,16800,96
846,1,74,16896,192
846,4,47,16896,192
846,2,71,16992,96
846,1,72,17088,96
846,2,69,17088,96
846,3,52,17088,192
846,4,52,17088,384
846,1,71,17184,96
846,2,68,17184,96
846,1,69,17280,96
846,2,66,17280,192
846,3,54,17280,192
846,1,68,17376,96
846,1,69,17472,96
846,2,65,17472,192
846,3,56,17472,192
846,4,50,17472,192
846,1,71,17568,96
846,1,72,17664,96
846,2,64,17664,192
846,3,57,17664,288
846,4,48,17664,192
846,1,66,17760,96
846,1,69,17856,96
846,2,62,17856,288
846,4,53,17856,384
846,1,68,17952,96
846,3,59,17952,48
846,3,57,18000,48
846,1,71,18048,192
846,3,56,18048,192
846,2,64,18144,96
846,1,69,18240,96
846,2,66,18240,96
846,3,60,18240,192
846,4,52,18240,384
846,1,71,18336,96
846,2,68,18336,96
846,1,72,18432,192
846,2,69,18432,96
846,3,54,18432,192
846,2,68,18528,96
846,1,77,18624,192
846,2,69,18624,96
846,3,59,18624,288
846,4,50,18624,384
846,2,71,18720,96
846,1,76,18816,192
846,2,68,18816,96
846,2,66,18912,96
846,3,60,18912,96
846,1,74,19008,384
846,2,68,19008,96
846,3,59,19008,96
846,4,52,19008,192
846,2,69,19104,96
846,3,57,19104,96
846,2,71,19200,192
846,3,56,19200,192
846,4,53,19200,192
846,1,72,19392,96
846,3,57,19392,384
846,4,52,19392,96
846,1,71,19488,96
846,4,50,19488,96
846,1,71,19584,288
846,4,52,19584,384
846,3,56,19776,192
846,1,69,19872,96
846,1,69,19968,384
846,3,57,19968,384
846,4,57,19968,384
846,2,60,20160,192
846,2,62,20352,192
846,2,64,20544,192
846,3,55,20544,192
846,2,65,20736,288
846,3,57,20736,192
846,3,59,20928,192
846,2,67,21024,48
846,2,65,21072,48
846,2,64,21120,192
846,3,60,21120,288
846,2,69,21312,192
846,3,62,21408,48
846,3,60,21456,48
846,2,62,21504,192
846,3,59,21504,192
846,2,67,21696,288
846,3,64,21696,192
846,4,43,21696,192
846,3,57,21888,192
846,4,45,21888,192
846,2,69,21984,96
846,2,67,22080,96
846,3,62,22080,384
846,4,47,22080,192
846,2,65,22176,96
846,2,64,22272,192
846,4,48,22272,288
846,1,67,22464,192
846,2,64,22464,192
846,3,55,22464,192
846,4,50,22560,48
846,4,48,22608,48
846,1,69,22656,192
846,2,66,22656,192
846,3,62,22656,384
846,4,47,22656,192
846,1,71,22848,192
846,2,67,22848,384
846,4,52,22848,192
846,1,72,23040,288
846,3,60,23040,192
846,4,45,23040,192
846,2,66,23232,192
846,3,57,23232,192
846,4,50,23232,288
846,1,74,23328,48
846,1,72,23376,48
846,1,71,23424,192
846,2,68,23424,192
846,3,64,23424,384
846,4,52,23520,96
846,1,72,23616,192
846,2,69,23616,384
846,4,50,23616,96
846,4,48,23712,96
846,1,74,23808,192
846,3,62,23808,192
846,4,47,23808,192
846,1,76,24000,192
846,2,67,24000,192
846,4,46,24000,192
846,1,77,24192,288
846,2,69,24192,192
846,4,45,24192,192
846,2,71,24384,192
846,4,43,24384,192
846,1,79,24480,48
846,1,77,24528,48
846,1,76,24576,192
846,2,72,24576,288
846,4,45,24576,192
846,1,81,24768,192
846,3,57,24768,192
846,4,54,24768,192
846,2,74,24864,48
846,2,72,24912,48
846,1,74,24960,192
846,2,71,24960,192
846,3,59,24960,192
846,4,55,24960,192
846,1,79,25152,288
846,2,76,25152,192
846,3,61,25152,192
846,4,52,25152,192
846,2,69,25344,192
846,3,62,25344,288
846,4,50,25344,384
846,1,81,25440,96
846,1,79,25536,96
846,2,74,25536,288
846,1,77,25632,96
846,3,64,25632,48
846,3,62,25680,48
846,1,76,25728,192
846,3,60,25728,192
846,4,52,25728,192
846,2,76,25824,96
846,1,81,25920,192
846,2,74,25920,96
846,3,65,25920,192
846,4,53,25920,192
846,2,72,26016,96
846,1,74,26112,192
846,2,71,26112,192
846,3,59,26112,192
846,4,55,26112,288
846,1,82,26304,192
846,2,79,26304,192
846,3,64,26304,288
846,4,57,26400,48
846,4,55,26448,48
846,1,81,26496,192
846,2,73,26496,192
846,4,53,26496,192
846,3,65,26592,96
846,1,79,26688,96
846,2,74,26688,192
846,3,64,26688,96
846,4,58,26688,192
846,1,77,26784,96
846,3,62,26784,96
846,1,79,26880,96
846,2,76,26880,192
846,3,61,26880,192
846,4,52,26880,192
846,1,77,26976,96
846,1,79,27072,96
846,2,73,27072,192
846,4,57,27072,288
846,1,76,27168,96
846,1,77,27264,96
846,2,74,27264,192
846,1,79,27360,96
846,4,59,27360,96
846,1,79,27456,96
846,2,76,27456,192
846,4,57,27456,96
846,1,77,27552,48
846,4,55,27552,96
846,1,79,27600,48
846,1,81,27648,96
846,2,69,27648,192
846,4,53,27648,96
846,1,73,27744,96
846,4,52,27744,96
846,1,74,27840,96
846,3,57,27840,192
846,4,53,27840,96
846,1,79,27936,96
846,4,50,27936,96
846,1,76,28032,288
846,3,59,28032,192
846,4,55,28032,192
846,2,64,28224,192
846,3,61,28224,192
846,4,57,28224,192
846,1,74,28320,96
846,1,74,28416,192
846,2,66,28416,192
846,3,62,28416,288
846,4,50,28416,864
846,2,67,28608,192
846,3,64,28704,48
846,3,62,28752,48
846,2,69,28800,288
846,3,60,28800,192
846,3,66,28992,192
846,2,71,29088,48
846,2,69,29136,48
846,2,67,29184,192
846,3,59,29184,192
846,4,52,29280,96
846,2,72,29376,192
846,3,64,29376,288
846,4,50,29376,96
846,4,48,29472,96
846,2,66,29568,192
846,4,47,29568,96
846,3,66,29664,96
846,4,45,29664,96
846,2,71,29760,288
846,3,64,29760,96
846,4,43,29760,96
846,3,62,29856,96
846,4,42,29856,96
846,3,60,29952,864
846,4,40,29952,192
846,2,72,30048,96
846,2,71,30144,96
846,4,52,30144,192
846,2,69,30240,96
846,2,67,30336,96
846,4,54,30336,192
846,2,66,30432,96
846,1,67,30528,192
846,2,64,30528,96
846,4,55,30528,384
846,2,62,30624,96
846,1,69,30720,192
846,2,64,30720,384
846,3,62,30816,96
846,1,71,30912,192
846,3,60,30912,96
846,4,57,30912,96
846,3,59,31008,96
846,4,55,31008,96
846,1,72,31104,288
846,2,62,31104,480
846,3,57,31104,96
846,4,54,31104,192
846,3,55,31200,96
846,3,57,31296,96
846,4,50,31296,192
846,1,74,31392,48
846,3,54,31392,96
846,1,72,31440,48
846,1,71,31488,192
846,3,55,31488,192
846,4,55,31488,1536
846,2,69,31584,96
846,1,76,31680,192
846,2,67,31680,96
846,3,59,31680,192
846,2,65,31776,96
846,1,69,31872,192
846,2,64,31872,96
846,3,60,31872,192
846,2,67,31968,96
846,1,74,32064,288
846,2,65,32064,96
846,3,62,32064,192
846,2,69,32160,96
846,2,67,32256,480
846,3,64,32256,288
846,1,76,32352,96
846,1,74,32448,96
846,1,72,32544,96
846,3,65,32544,48
846,3,64,32592,48
846,1,71,32640,96
846,3,62,32640,192
846,1,72,32736,96
846,2,69,32736,96
846,1,74,32832,96
846,2,70,32832,192
846,3,67,32832,192
846,1,76,32928,96
846,1,77,33024,96
846,2,72,33024,384
846,3,60,33024,192
846,4,57,33024,384
846,1,79,33120,96
846,1,81,33216,96
846,3,65,33216,288
846,1,79,33312,96
846,1,77,33408,96
846,2,74,33408,192
846,4,59,33408,192
846,1,76,33504,96
846,3,67,33504,96
846,1,74,33600,96
846,2,67,33600,192
846,3,65,33600,96
846,4,60,33600,192
846,1,72,33696,96
846,3,64,33696,96
846,1,71,33792,384
846,2,67,33792,576
846,3,62,33792,384
846,4,53,33792,96
846,4,57,33888,96
846,4,55,33984,96
846,4,53,34080,96
846,1,72,34176,192
846,3,64,34176,192
846,4,52,34176,96
846,4,50,34272,96
846,1,74,34368,192
846,2,65,34368,384
846,3,62,34368,384
846,4,48,34368,96
846,4,47,34464,96
846,1,67,34560,192
846,4,48,34560,96
846,4,50,34656,96
846,1,72,34752,384
846,2,64,34752,192
846,3,55,34752,192
846,4,52,34752,96
846,4,53,34848,96
846,2,62,34944,384
846,3,55,34944,576
846,4,55,34944,192
846,1,71,35136,192
846,4,43,35136,192
846,1,72,35328,384
846,2,64,35328,192
846,4,48,35328,6144
846,2,69,35520,384
846,3,48,35520,192
846,1,71,35712,192
846,3,50,35712,192
846,1,70,35904,192
846,2,67,35904,384
846,3,52,35904,192
846,1,69,36096,192
846,3,53,36096,288
846,1,74,36288,384
846,2,65,36288,192
846,3,55,36384,48
846,3,53,36432,48
846,2,67,36480,192
846,3,52,36480,192
846,1,72,36672,192
846,2,69,36672,192
846,3,57,36672,192
846,1,74,36864,192
846,2,70,36864,288
846,3,50,36864,192
846,1,76,37056,192
846,3,55,37056,288
846,2,72,37152,48
846,2,70,37200,48
846,1,77,37248,480
846,2,69,37248,192
846,3,57,37344,96
846,2,74,37440,192
846,3,55,37440,96
846,3,53,37536,96
846,2,67,37632,192
846,3,52,37632,96
846,1,81,37728,96
846,3,50,37728,96
846,1,79,37824,96
846,2,72,37824,288
846,3,52,37824,96
846,1,77,37920,96
846,3,53,37920,96
846,1,76,38016,96
846,3,55,38016,96
846,1,77,38112,96
846,2,74,38112,96
846,3,57,38112,96
846,1,76,38208,96
846,2,72,38208,96
846,3,58,38208,96
846,1,74,38304,96
846,2,70,38304,96
846,3,55,38304,96
846,1,72,38400,768
846,2,69,38400,96
846,3,57,38400,96
846,2,70,38496,96
846,3,52,38496,96
846,2,69,38592,96
846,3,53,38592,96
846,2,67,38688,96
846,3,55,38688,96
846,2,65,38784,96
846,3,57,38784,96
846,2,67,38880,96
846,3,59,38880,96
846,2,65,38976,96
846,3,60,38976,96
846,2,64,39072,96
846,3,57,39072,96
846,2,62,39168,672
846,3,59,39168,768
846,1,67,39264,48
846,1,69,39312,48
846,1,71,39360,96
846,1,72,39456,96
846,1,74,39552,96
846,1,76,39648,96
846,1,77,39744,240
846,2,67,39840,96
846,2,69,39936,384
846,3,60,39936,1536
846,1,72,39984,48
846,1,74,40032,48
846,1,76,40080,48
846,1,77,40128,96
846,1,79,40224,96
846,1,81,40320,288
846,2,77,40416,96
846,2,74,40512,192
846,1,83,40608,96
846,1,84,40704,768
846,2,79,40704,768
846,2,76,40704,768
847,2,72,192,96
847,2,71,288,96
847,2,72,384,192
847,2,67,576,192
847,2,68,768,192
847,2,72,960,96
847,2,71,1056,96
847,2,72,1152,192
847,2,74,1344,192
847,2,67,1536,192
847,2,72,1728,96
847,2,71,1824,96
847,2,72,1920,192
847,2,74,2112,192
847,2,65,2304,96
847,2,67,2400,96
847,2,68,2496,384
847,2,67,2880,96
847,2,65,2976,96
847,2,63,3072,96
847,2,72,3168,96
847,1,79,3264,96
847,2,71,3264,96
847,1,78,3360,96
847,2,69,3360,96
847,1,79,3456,192
847,2,67,3456,96
847,2,65,3552,96
847,1,72,3648,192
847,2,63,3648,96
847,2,62,3744,96
847,1,75,3840,192
847,2,60,3840,192
847,1,79,4032,96
847,2,75,4032,192
847,1,78,4128,96
847,1,79,4224,192
847,2,74,4224,192
847,1,81,4416,192
847,2,72,4416,192
847,1,74,4608,192
847,2,70,4608,192
847,1,79,4800,96
847,2,69,4800,192
847,1,78,4896,96
847,1,79,4992,192
847,2,70,4992,192
847,1,81,5184,192
847,2,72,5184,192
847,1,72,5376,96
847,2,66,5376,192
847,1,74,5472,96
847,1,75,5568,384
847,2,67,5568,192
847,2,69,5760,192
847,1,74,5952,96
847,2,66,5952,192
847,1,72,6048,96
847,1,70,6144,192
847,2,67,6144,384
847,1,75,6336,96
847,1,74,6432,96
847,1,75,6528,192
847,2,60,6624,96
847,1,67,6720,192
847,2,62,6720,96
847,2,63,6816,96
847,1,68,6912,192
847,2,65,6912,96
847,2,67,7008,96
847,1,77,7104,96
847,2,68,7104,288
847,1,75,7200,96
847,1,77,7296,192
847,2,62,7392,96
847,1,69,7488,192
847,2,63,7488,96
847,2,65,7584,96
847,1,70,7680,192
847,2,67,7680,96
847,2,69,7776,96
847,1,79,7872,96
847,2,70,7872,288
847,1,77,7968,96
847,1,79,8064,192
847,2,63,8160,96
847,1,71,8256,192
847,2,65,8256,96
847,2,67,8352,96
847,1,72,8448,192
847,2,68,8448,96
847,2,67,8544,96
847,1,74,8640,96
847,2,65,8640,96
847,1,75,8736,96
847,2,63,8736,96
847,1,77,8832,576
847,2,62,8832,192
847,2,72,9024,96
847,2,71,9120,96
847,2,72,9216,384
847,1,75,9408,96
847,3,60,9408,96
847,1,74,9504,96
847,3,59,9504,96
847,1,72,9600,96
847,3,60,9600,192
847,1,70,9696,96
847,1,68,9792,96
847,3,55,9792,192
847,1,67,9888,96
847,1,65,9984,192
847,3,56,9984,192
847,1,80,10176,192
847,2,77,10176,192
847,3,60,10176,96
847,3,59,10272,96
847,1,79,10368,192
847,2,75,10368,192
847,3,60,10368,192
847,1,77,10560,192
847,2,74,10560,192
847,3,62,10560,192
847,1,75,10752,192
847,3,55,10752,192
847,1,74,10944,192
847,2,68,10944,192
847,3,60,10944,96
847,3,59,11040,96
847,1,75,11136,192
847,2,67,11136,192
847,3,60,11136,192
847,1,77,11328,192
847,2,65,11328,192
847,3,62,11328,192
847,1,71,11520,192
847,2,67,11520,192
847,3,53,11520,96
847,3,55,11616,96
847,1,72,11712,192
847,2,65,11712,96
847,3,56,11712,384
847,2,63,11808,96
847,1,74,11904,192
847,2,65,11904,192
847,1,71,12096,192
847,2,62,12096,192
847,3,55,12096,96
847,3,53,12192,96
847,1,72,12288,192
847,2,67,12288,384
847,3,51,12288,96
847,3,60,12384,96
847,1,79,12480,96
847,3,59,12480,96
847,1,78,12576,96
847,3,57,12576,96
847,1,79,12672,192
847,3,55,12672,96
847,3,53,12768,96
847,1,74,12864,192
847,2,71,12864,192
847,3,51,12864,96
847,3,50,12960,96
847,1,75,13056,384
847,2,72,13056,192
847,3,48,13056,96
847,3,50,13152,96
847,2,72,13248,96
847,3,51,13248,96
847,2,71,13344,96
847,3,50,13344,96
847,2,72,13440,192
847,3,48,13440,96
847,3,46,13536,96
847,1,76,13632,192
847,2,67,13632,192
847,3,44,13632,96
847,3,43,13728,96
847,1,77,13824,192
847,2,68,13824,384
847,3,41,13824,96
847,3,58,13920,96
847,1,77,14016,96
847,3,56,14016,96
847,1,76,14112,96
847,3,55,14112,96
847,1,77,14208,192
847,3,53,14208,96
847,3,51,14304,96
847,1,72,14400,192
847,2,69,14400,192
847,3,50,14400,96
847,3,48,14496,96
847,1,74,14592,384
847,2,70,14592,192
847,3,46,14592,96
847,3,48,14688,96
847,2,70,14784,96
847,3,50,14784,96
847,2,69,14880,96
847,3,48,14880,96
847,2,70,14976,192
847,3,46,14976,96
847,3,44,15072,96
847,1,74,15168,192
847,2,65,15168,192
847,3,43,15168,96
847,3,41,15264,96
847,1,75,15360,192
847,2,67,15360,384
847,3,39,15360,96
847,3,56,15456,96
847,1,75,15552,96
847,3,55,15552,96
847,1,74,15648,96
847,3,53,15648,96
847,1,75,15744,192
847,3,51,15744,96
847,3,49,15840,96
847,1,70,15936,192
847,2,67,15936,192
847,3,48,15936,96
847,3,46,16032,96
847,1,72,16128,192
847,2,68,16128,192
847,3,44,16128,192
847,1,75,16320,96
847,2,68,16320,192
847,3,60,16320,192
847,1,74,16416,96
847,1,75,16512,192
847,2,67,16512,192
847,3,58,16512,192
847,1,77,16704,192
847,2,65,16704,192
847,3,56,16704,192
847,1,70,16896,192
847,3,55,16896,192
847,1,75,17088,96
847,2,56,17088,192
847,3,53,17088,192
847,1,74,17184,96
847,1,75,17280,192
847,2,58,17280,192
847,3,55,17280,192
847,1,77,17472,192
847,2,60,17472,192
847,3,56,17472,192
847,1,68,17664,96
847,3,50,17664,192
847,1,70,17760,96
847,1,72,17856,384
847,2,56,17856,96
847,3,51,17856,192
847,2,55,17952,96
847,2,56,18048,192
847,3,53,18048,192
847,1,70,18240,96
847,2,53,18240,192
847,3,50,18240,192
847,1,68,18336,96
847,1,67,18432,96
847,2,58,18432,192
847,3,51,18432,192
847,1,63,18528,96
847,1,65,18624,96
847,2,60,18624,192
847,3,56,18624,192
847,1,67,18720,96
847,1,68,18816,96
847,2,58,18816,192
847,3,55,18816,192
847,1,70,18912,96
847,1,72,19008,96
847,2,56,19008,192
847,3,53,19008,192
847,1,74,19104,96
847,1,75,19200,96
847,2,58,19200,192
847,3,55,19200,192
847,1,74,19296,96
847,1,72,19392,96
847,2,55,19392,192
847,3,51,19392,192
847,1,74,19488,96
847,1,75,19584,96
847,2,53,19584,192
847,3,50,19584,192
847,1,77,19680,96
847,1,79,19776,96
847,2,51,19776,192
847,3,48,19776,192
847,1,81,19872,96
847,1,82,19968,96
847,2,53,19968,192
847,3,50,19968,192
847,1,65,20064,96
847,1,67,20160,96
847,2,61,20160,192
847,3,58,20160,192
847,1,68,20256,96
847,1,70,20352,96
847,2,60,20352,192
847,3,56,20352,192
847,1,72,20448,96
847,1,74,20544,96
847,2,58,20544,192
847,3,55,20544,192
847,1,76,20640,96
847,1,77,20736,96
847,2,60,20736,192
847,3,56,20736,192
847,1,75,20832,96
847,1,74,20928,96
847,2,56,20928,192
847,3,53,20928,192
847,1,75,21024,96
847,1,77,21120,96
847,2,55,21120,192
847,3,51,21120,192
847,1,79,21216,96
847,1,81,21312,96
847,2,53,21312,192
847,3,50,21312,192
847,1,83,21408,96
847,1,84,21504,192
847,2,55,21504,192
847,3,51,21504,192
847,1,83,21696,96
847,2,67,21696,96
847,1,81,21792,96
847,2,66,21792,96
847,1,79,21888,96
847,2,67,21888,192
847,1,77,21984,96
847,1,75,22080,96
847,2,60,22080,192
847,1,74,22176,96
847,1,72,22272,192
847,2,63,22272,192
847,1,75,22464,192
847,2,67,22464,96
847,3,48,22464,192
847,2,66,22560,96
847,1,74,22656,192
847,2,67,22656,192
847,3,46,22656,192
847,1,72,22848,192
847,2,69,22848,192
847,3,45,22848,192
847,1,70,23040,192
847,2,62,23040,192
847,1,69,23232,192
847,2,67,23232,96
847,3,51,23232,192
847,2,66,23328,96
847,1,70,23424,192
847,2,67,23424,192
847,3,50,23424,192
847,1,72,23616,192
847,2,69,23616,192
847,3,48,23616,192
847,1,66,23808,192
847,2,60,23808,96
847,3,50,23808,192
847,2,62,23904,96
847,1,67,24000,192
847,2,63,24000,384
847,3,48,24000,96
847,3,46,24096,96
847,1,69,24192,192
847,3,48,24192,192
847,1,66,24384,192
847,2,62,24384,96
847,3,50,24384,192
847,2,60,24480,96
847,1,67,24576,192
847,2,58,24576,192
847,3,43,24576,192
847,1,74,24768,96
847,3,58,24768,96
847,1,72,24864,96
847,3,57,24864,96
847,1,74,24960,192
847,3,58,24960,192
847,2,62,25056,96
847,2,64,25152,96
847,3,50,25152,192
847,2,66,25248,96
847,2,67,25344,96
847,3,51,25344,192
847,2,69,25440,96
847,1,76,25536,96
847,2,70,25536,288
847,3,60,25536,96
847,1,74,25632,96
847,3,58,25632,96
847,1,76,25728,192
847,3,60,25728,192
847,2,64,25824,96
847,2,65,25920,96
847,3,52,25920,192
847,2,67,26016,96
847,2,69,26112,96
847,3,53,26112,192
847,2,70,26208,96
847,1,78,26304,96
847,2,72,26304,288
847,3,62,26304,96
847,1,76,26400,96
847,3,60,26400,96
847,1,78,26496,192
847,3,62,26496,192
847,2,66,26592,96
847,2,67,26688,96
847,3,54,26688,192
847,2,69,26784,96
847,2,70,26880,192
847,3,55,26880,384
847,1,67,27072,96
847,2,63,27072,96
847,1,65,27168,96
847,2,62,27168,96
847,1,67,27264,192
847,2,63,27264,192
847,3,43,27360,96
847,2,55,27456,192
847,3,45,27456,96
847,3,47,27552,96
847,2,56,27648,192
847,3,48,27648,96
847,3,50,27744,96
847,1,69,27840,96
847,2,65,27840,96
847,3,51,27840,288
847,1,67,27936,96
847,2,63,27936,96
847,1,69,28032,192
847,2,65,28032,192
847,3,45,28128,96
847,2,57,28224,192
847,3,46,28224,96
847,3,48,28320,96
847,2,58,28416,192
847,3,50,28416,96
847,3,51,28512,96
847,1,71,28608,96
847,2,67,28608,96
847,3,53,28608,288
847,1,69,28704,96
847,2,65,28704,96
847,1,71,28800,192
847,2,67,28800,192
847,3,47,28896,96
847,2,59,28992,192
847,3,48,28992,96
847,3,50,29088,96
847,2,60,29184,96
847,3,51,29184,192
847,2,65,29280,96
847,1,72,29376,96
847,2,63,29376,96
847,1,71,29472,96
847,2,62,29472,96
847,1,72,29568,192
847,2,60,29568,96
847,2,58,29664,96
847,1,67,29760,192
847,2,56,29760,96
847,3,52,29760,192
847,2,55,29856,96
847,1,68,29952,192
847,2,53,29952,192
847,3,53,29952,192
847,1,72,30144,96
847,2,68,30144,192
847,3,41,30144,192
847,1,71,30240,96
847,1,72,30336,192
847,2,67,30336,192
847,3,39,30336,192
847,1,74,30528,192
847,2,65,30528,192
847,3,38,30528,192
847,1,67,30720,192
847,2,63,30720,192
847,1,72,30912,96
847,2,62,30912,192
847,3,44,30912,192
847,1,71,31008,96
847,1,72,31104,192
847,2,63,31104,192
847,3,43,31104,192
847,1,74,31296,192
847,2,65,31296,192
847,3,41,31296,192
847,1,65,31488,96
847,2,59,31488,192
847,3,43,31488,192
847,1,67,31584,96
847,1,68,31680,384
847,2,60,31680,192
847,3,41,31680,96
847,3,39,31776,96
847,2,62,31872,192
847,3,41,31872,192
847,1,67,32064,96
847,2,59,32064,192
847,3,43,32064,192
847,1,65,32160,96
847,1,63,32256,192
847,2,60,32256,384
847,3,48,32256,96
847,3,50,32352,96
847,1,72,32448,96
847,3,51,32448,96
847,1,71,32544,96
847,3,50,32544,96
847,1,72,32640,192
847,3,48,32640,96
847,3,46,32736,96
847,1,67,32832,192
847,2,64,32832,192
847,3,44,32832,96
847,3,43,32928,96
847,1,68,33024,384
847,2,65,33024,192
847,3,41,33024,96
847,3,58,33120,96
847,2,65,33216,96
847,3,56,33216,96
847,2,64,33312,96
847,3,55,33312,96
847,2,65,33408,192
847,3,53,33408,96
847,3,51,33504,96
847,1,69,33600,192
